Taxon,Author,Author of Sub Species or Variety,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,,,,
Rubus laciniatus,Willd.,,cutleaf blackberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,exotic,SNA (2001),new 2015,documented,,,,,2015-04-29,judithofsquamish,http://www.inaturalist.org/observations/4482744,https://static.inaturalist.org/photos/5412157/medium.jpeg?1478115542,,78891,,,,,
Rubus leucodermis,Douglas ex Torr. & A. Gray.,,whitebark raspberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015),new 2016,documented,,,,,2016-05-21,judithofsquamish,http://www.inaturalist.org/observations/4482825,https://static.inaturalist.org/photos/5412276/medium.jpeg?1478116218,,63960,,,,,
Rubus nivalis,Douglas ex Hook.,,snow dwarf bramble,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S3S4 (2018) ,reported,undocumented,2003-05-25,Paul Kroeger,UBC,UBC: V219244,,,,,,78893,,,,,
Rubus parviflorus,Nutt.,,thimbleberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015),confirmed,documented,1967-06-04,Pat Warrington,LEA,LEA,2015-04-05,judithofsquamish,http://www.inaturalist.org/observations/4482910,https://static.inaturalist.org/photos/5412341/medium.jpeg?1478116803,,51646,,,,,
Rubus pedatus,Sm.,,five-leaf dwarf bramble,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015) ,confirmed,documented,1974-07-05,Charles E. Beil,UBC,UBC: V176125,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7359620,https://static.inaturalist.org/photos/9542260/medium.jpeg?1501945106,,130220,,,,,
Rubus plicatus ,Weihe & Nees,,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,exotic,not in CDC records,reported,undocumented,2008-06-03, ,RBCM,V206710,,,,,original record R. fruticosus,55913,,,,,
Rubus spectabilis,Pursh,,salmonberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015) ,confirmed,documented,1974-06-20,Charles E. Beil ,UBC,UBC: V176081,2015-03-07,judithofsquamish,http://www.inaturalist.org/observations/4483004,https://static.inaturalist.org/photos/5412605/medium.jpeg?1478118402,,47543,,,,,
Rubus ursinus,Cham. & Schltdl.,,trailing blackberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015),new 2015,documented,,,,,2015-05-14,judithofsquamish,http://www.inaturalist.org/observations/4483221,https://static.inaturalist.org/photos/5412824/medium.jpeg?1478119675,,53445,,,,,
Rubus vestitus ,Weihe,,European blackberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,exotic,SNA (2007),reported,undocumented,2008-02-18,Frank Lomer ,UBC,UBC: V227193,,,,,,55917,,,,,
Rudbeckia hirta,L.,,black-eyed Susan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2019,documented,,,,,2019-08-18,benkeen,https://www.inaturalist.org/observations/31071283,https://static.inaturalist.org/photos/48592623/medium.jpeg?1566154960,,62741,,,,,
Rumex acetosa,L.,,common sorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,exotic,SNA (2000 or 2008),new 2018,documented,,,,,2018-04-17,derekkillby,https://www.inaturalist.org/observations/13791482,https://static.inaturalist.org/photos/20339534/medium.jpg?1529981415,,55821,,,,,
Rumex acetosella,L.,,sheep's sorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,exotic,SNA (2001),new 2015,documented,,,,,2015-05-14,judithofsquamish,http://www.inaturalist.org/observations/4483256,https://static.inaturalist.org/photos/5412937/medium.jpeg?1478120247,,53195,,,,,
Rumex crispus,L.,,curly dock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,exotic,SNA (2001),new 2015,documented,,,,,2015-06-21,hillanddale,https://www.inaturalist.org/observations/9530872,https://static.inaturalist.org/photos/12997144/medium.jpg?1516395261,,53197,,,,,
Rumex fueginus,Phil.,,golden dock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,native,S5 (2015),new 2015,documented,,,,,2015-07-19,judithofsquamish,http://www.inaturalist.org/observations/4483526,https://static.inaturalist.org/photos/5413506/medium.jpeg?1478122501,,78903,,,,,
Rumex obtusifolius,L.,,broad-leaved dock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-15,benkeen,https://www.inaturalist.org/observations/16564615,https://static.inaturalist.org/photos/24945684/medium.jpg?1537043730,,63371,,,,,
Rumex occidentalis,S. Watson,,western dock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,,native,S4S5 (2015),new 2017,documented,,,,,2017-05-21,judithofsquamish,https://www.inaturalist.org/observations/9968540,https://static.inaturalist.org/photos/13692681/medium.jpeg?1519412089,,61086,,,,,
Ruppia maritima,L.,,widgeongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Ruppiaceae,,native,S5 (2001),confirmed,documented,1980-01-01, ,RBCM,V199577,2015-07-14,judithofsquamish,https://www.inaturalist.org/observations/9974569,https://static.inaturalist.org/photos/13704936/medium.jpeg?1519447007,,61090,,,,,
Sabulina macra ,(A. Nelson & J.F. Macbr.) Dillenb. & Kadereit,,California sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),reported,undocumented,1993-05-24,Terry Taylor,RBCM,V182022,,,,,Herbarium record Minuartia tenella (J. Gay) Mattf.,836878,,,,,
Sabulina rubella ,(Wahlenb.) Dillenb. & Kadereit,,reddish sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2015) ,reported,undocumented,1951-08-22,W. Cottle ,UBC,UBC: V27283,,,,,,836893,,,,,
Sagina maxima crassicaulis,A. Gray (S. Watson),,thick-stemmed pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),new 2018,documented,,,,,2018-07-14,judithofsquamish,https://www.inaturalist.org/observations/14418686,https://static.inaturalist.org/photos/21452159/medium.jpeg?1531760715,,80178,,,,,
Sagina procumbens,L.,,procumbent pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2015),confirmed,documented,1944-08-05,Vernon C. Brink,UBC,UBC: V120920,2019-04-05,benkeen,https://www.inaturalist.org/observations/22064952,https://static.inaturalist.org/photos/34170416/medium.jpg?1554515353,,55667,,,,,
Sagina saginoides ,(L.) H. Karsten,,alpine pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2015),reported,undocumented,1967-08-16,V. Bednar,UBC,UBC: V158297,,,,,,78923,,,,,
Salicornia depressa ,Standl.,,Virginia glasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,native,S4 (2015) ,reported,undocumented,1933-07-30,H.B. Brown ,UBC,UBC: V41601,,,,,,78930,,,,,
Salix arctica ,Pall.,,Arctic willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015) ,reported,undocumented,1912-08-00,John Davidson,UBC,UBC: V62886,,,,,,67799,,,,,
Salix barclayi,Andersson,,Barclay's willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),new 2017,documented,,,,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6939595,https://static.inaturalist.org/photos/8867840/medium.jpeg?1499314618,,168319,,,,,
Salix commutata ,Bebb,,undergreen willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),reported,undocumented,1913-08-00,John Davidson,UBC,UBC: V62895,,,,,,168327,,,,,
Salix glauca villosa,(Hook.) Andersson ,,Silky willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2000),new 2018,documented,,,,,2018-08-29,judithofsquamish,https://www.inaturalist.org/observations/17456702,https://static.inaturalist.org/photos/26541298/medium.jpeg?1539407880,,242736,,,,,
Salix hookeriana ,Barratt ex Hook.,,coastal willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),reported,undocumented,1999-07-22,Frank Lomer,UBC,UBC: V234449,,,,,,78941,,,,,
Salix nivalis ,Hook.,,snow willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),reported,undocumented,1958-07-25,Vernon C. Brink,UBC,UBC: V120348,,,,,,78948,,,,,
Salix lasiandra lasiandra,Muhl. (Benth.) A.E. Murray,,Pacific willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2000) ,confirmed,documented,0000-00-00,BC Parks,Baynes Island Ecological Reserve online 'detailed description',,2017-05-13,judithofsquamish,https://www.inaturalist.org/observations/7376308,https://static.inaturalist.org/photos/9569866/medium.jpeg?1502036568,,81358,,,,,
Salix scouleriana,Barratt ex Hook. ,,Scouler's willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),confirmed,documented,1912-06-15,John Davidson,UBC,UBC: V62879,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6939797,https://static.inaturalist.org/photos/8868112/medium.jpeg?1499315415,,71076,,,,,
Salix sitchensis,Sanson ex Bong. ,,Sitka willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015) ,confirmed,documented,1978-00-00,Brenda Storey ,RBCM,V147620,2017-05-31,sea2skynaturebc,http://inaturalist.ca/observations/6444384,https://static.inaturalist.org/photos/8142213/medium.jpg?1496246230,,61100,,,,,
Sambucus racemosa,L.,,red-berried elder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Viburnaceae,,native,S5 (2000) ,confirmed,documented,2012-05-02,Erin R. Manton,UBC,UBC: V238868,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113044,https://static.inaturalist.org/photos/7647743/medium.jpeg?1494086077,,57824,,,,,
Sanguisorba minor,Scop.,,salad burnet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,exotic,SNA (2000) ,confirmed,documented,1987-05-16,Terry M. Taylor,UBC,UBC: V191380,2019-07-31,benkeen,https://www.inaturalist.org/observations/29959809,https://static.inaturalist.org/photos/46785471/medium.jpeg?1564630942,,55736,,,,,
Sanguisorba stipulata ,Raf.,,Sitka burnet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S5 (2015) ,reported,undocumented,1943-07-03,Vernon C. Brink ,UBC,UBC: V83552,,,,,,782906,,,,,
Satureja douglasii  ,(Benth.) Brig. in Engl. & Prant.,,yerba buena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2019),reported,undocumented,1993-05-24,,RBCM,V182030,,,,,,53203,,,,,
Saxifraga bronchialis subsp. austromontana ,Wiegand,,yellow-spot saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2000) ,reported,undocumented,1976-07-15,Murray Clark ,UBC,UBC: V161989,,,,,"Herbarium record S. austromontana, iNaturalist name entered",238406,,,,,
Saxifraga cespitosa ,L.,,tufted saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S4 (2015),reported,undocumented,1965-07-02,Bruce Fraser,UBC,UBC: V194626,,,,,,78985,,,,,
Saxifraga mertensiana ,Bong.,,wood saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S4 (2015) ,reported,undocumented,1966-07-29,B. Fraser ,UBC,UBC: V194882,,,,,,68218,,,,,
Sceptridium multifidum,(Gmel.) Tagawa,,leathery grapefern,Plantae,Tracheophyta,,,Polypodiopsida,Ophioglossidae,,Ophioglossales,,,Ophioglossaceae,,native,S5 (2015) ,reported,undocumented,1963-07-19,L. Orloci ,UBC,UBC: V104389,,,,,,78990,,,,,
Scheuchzeria palustris,L.,,Rannoch rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Scheuchzeriaceae,,native,S5 (2019),new 2019,documented,,,,,2019-05-04,judithofsquamish,https://www.inaturalist.org/observations/24650028,https://static.inaturalist.org/photos/38116702/medium.jpeg?1557119057,,78991,,,,,
Schoenoplectus acutus,(Muhl. ex. Bigelow) A. Löve & D. Löve,,hardstem bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,native,S5 (2019),new 2017,documented,,,,,2017-08-07,judithofsquamish,https://www.inaturalist.org/observations/8099262,https://static.inaturalist.org/photos/10743114/medium.jpeg?1506396671,,59205,,,,,
Schoenoplectus pungens ,(Vahl) Palla,,three-square bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2000) ,reported,undocumented,1978-06-02,Bob Ogwang,UBC,UBC: V163927,,,,,,59072,,,,,
Schoenoplectus subterminalis ,(Torr.) Soják,,water bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,native,S4 (2015) ,reported,undocumented,2004-07-25,Frank Lomer ,UBC,UBC: V230060,,,,,,78997,,,,,
Schoenoplectus tabernaemontani,(C.C. Gmel.) Palla,,soft-stemmed bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,native,S5 (2015) ,new 2015,documented,,,,,2015-07-15,judithofsquamish,http://www.inaturalist.org/observations/4484903,https://static.inaturalist.org/photos/5415354/medium.jpeg?1478131751,,78998,,,,,
Scirpus microcarpus,J. Presl & C. Presl.,,panicled bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,native,S5 (2015),new 2015,documented,,,,,2015-05-18,judithofsquamish,http://www.inaturalist.org/observations/4484970,https://static.inaturalist.org/photos/5415472/medium.jpeg?1478132307,,59068,,,,,
Scutellaria lateriflora,L.,,side-flowering skullcap,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Scutellarioideae,exotic,SNA (2019),new 2019,documented,,,,,2019-08-17,benkeen,https://www.inaturalist.org/observations/31020809,https://static.inaturalist.org/photos/48506190/medium.jpeg?1566082642,,79017,,,,,
Securigera varia,L.,,purple crownvetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2001),new 2018,documented,,,,,2018-08-03,derekkillby,https://www.inaturalist.org/observations/15113809,https://static.inaturalist.org/photos/22580624/medium.jpg?1533415481,,127186,,,,,
Sedum album,L.,,white stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-15,benkeen,https://www.inaturalist.org/observations/16564538,https://static.inaturalist.org/photos/24945563/medium.jpg?1537043610,,79025,,,,,
Sedum divergens ,S. Watson,,Pacific stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,,native,S5 (2015),reported,undocumented,1965-07-23,B. Fraser,UBC,UBC: V161007,,,,,,61155,,,,,
Sedum lanceolatum,Torr.,,spearleaf stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,native,S5 (2000),new 2015,documented,,,,,2015-06-23,hillanddale,https://www.inaturalist.org/observations/9530917,https://static.inaturalist.org/photos/12997201/medium.jpeg?1516395492,,79026,,,,,
Sedum oreganum,Nutt.,,Oregon stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,native,S5 ,confirmed,documented,1975-07-05,Ken Wilkins,UBC,UBC: V154215,2017-10-09,rainwalker,https://www.inaturalist.org/observations/8336953,https://static.inaturalist.org/photos/11078544/medium.jpg?1507609710,,79030,,,,,
Sedum spathulifolium,Hook.,,broad-leaved stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,native,S5 (2014),new 2018,documented,,,,,2018-06-27,thuja,https://www.inaturalist.org/observations/13896595,https://static.inaturalist.org/photos/20523877/medium.jpeg?1530312892,,58886,,,,,
Selaginella wallacei,Hieron,,Wallace's spikemoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,Selaginellaceae,,native,S5? (2015),confirmed,documented,2009-05-11,W. R. Buck ,NY,NY: 01105226,2018-09-15,benkeen,https://www.inaturalist.org/observations/16568476,https://static.inaturalist.org/photos/24952830/medium.jpg?1537050353,,63875,,,,,
Senecio fremontii ,Torr. & A. Gray,,Fremont's ragwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4 (2015) ,reported,undocumented,1975-09-14,D. Sheffield ,UBC,UBC: V148060,,,,,,79045,,,,,
Senecio sylvaticus, L.,,heath groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),reported,undocumented,1974-07-02,Charles E. Beil ,UBC,UBC: V176157,,,,,,53210,,,,,
Senecio triangularis,Hooker,,arrowleaf senecio,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,confirmed,documented,1965-07-29,Bruce Fraser ,UBC,UBC: V158301,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7361678,https://static.inaturalist.org/photos/9545352/medium.jpeg?1501954203,,79055,,,,,
Senecio viscosus,L.,,sticky groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2018,documented,,,,,2018-08-21,judithofsquamish,https://www.inaturalist.org/observations/15865270,https://static.inaturalist.org/photos/23720738/medium.jpeg?1535164811,,126892,,,,,
Senecio vulgaris,L.,,common groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2014,documented,,,,,2014-06-16,hillanddale,https://www.inaturalist.org/observations/9528577,https://static.inaturalist.org/photos/12993246/medium.jpeg?1516376682,,53211,,,,,
Setaria sp.,(L.) P. Beauv. ,,foxtails and bristlegrasses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,,genus is in CDC records,new 2019,documented,,,,,2019-09-21,benkeen,https://www.inaturalist.org/observations/33163939,https://static.inaturalist.org/photos/52063352/medium.jpeg?1569109027,,50055,,,,,
Sidalcea hendersonii,S. Watson,,Henderson's checker-mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,native,S3 (2015) ,confirmed,documented,2014-08-09,Anne Anderson,UBC,UBC: V244534,2015-07-09,judithofsquamish,http://www.inaturalist.org/observations/4485167,https://static.inaturalist.org/photos/5415647/medium.jpeg?1478133571,,168942,,,,,
Silene acaulis ,(L.) Jacq.,,moss campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2015),reported,undocumented,1966-00-00,B. Fraser ,UBC,UBC: V158302,,,,,,68886,,,,,
Silene coronaria,(L.) Desr.,,rose campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-18,benkeen,https://www.inaturalist.org/observations/16675623,https://static.inaturalist.org/photos/25149512/medium.jpg?1537320716,,485191,,,,,
Silene dioica,(L.) Clairv.,,red campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2001) ,new 2018,documented,,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16893375,https://static.inaturalist.org/photos/25520991/medium.jpg?1537849442,,55759,,,,,
Silene menziesii,Hook.,,Menzies' catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2019) ,reported,undocumented,1928-06-03,,RBCM,V038481,,,,,,79111,,,,,
Silene parryi ,(S. Watson) C.L. Hitchc. & Maguire,,Parry's campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2000),reported,undocumented,1965-08-18,B. Fraser,UBC,UBC: V158303,,,,,,143681,,,,,
Sisymbrium officinale,(L.) Scop.,,hedge mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,2019-05-31,benkeen,https://www.inaturalist.org/observations/26156427,https://static.inaturalist.org/photos/40588845/medium.jpeg?1559361590,,53266,,,,,
Sium suave,Walter,,water parsnip,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S5 (2000),new 2015,documented,,,,,2015-07-15,judithofsquamish,http://www.inaturalist.org/observations/4485626,https://static.inaturalist.org/photos/5416518/medium.jpeg?1478139944,,79131,,,,,
Solanum americanum,Mill.,,American black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,exotic,SNA (2008) ,new 2018,documented,,,,,2018-11-25,benkeen,https://www.inaturalist.org/observations/18629407,https://static.inaturalist.org/photos/28514573/medium.jpg?1543173152,,59035,,,,,
Solanum dulcamara,L.,,bittersweet nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,exotic,SNA (2000),new 2015,documented,,,,,2015-07-09,judithofsquamish,http://www.inaturalist.org/observations/4485828,https://static.inaturalist.org/photos/5416800/medium.jpeg?1478142311,,55620,,,,,
Solanum nigrum,L.,,black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,exotic,SNA (2008),confirmed,documented,1978-09-16,Martin Small,UBC,UBC: V165159,2019-07-20,benkeen,https://www.inaturalist.org/observations/29219492,https://static.inaturalist.org/photos/45592539/medium.jpeg?1563679603,,79141,,,,,
Solidago canadensis,L.,,Canada goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2011),new 2017,documented,,,,,2007-07-28,hillanddale,https://www.inaturalist.org/observations/9630330,https://static.inaturalist.org/photos/13147772/medium.jpeg?1517060355,,67808,,,,,
Sonchus arvensis,L.,,perennial sow thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2000),new 2015,documented,,,,,2015-06-20,judithofsquamish,http://www.inaturalist.org/observations/4485886,https://static.inaturalist.org/photos/5416872/medium.jpeg?1478142898,,79156,,,,,
Sonchus asper,(L.) Hill.,,prickly sowthistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,new 2018,documented,,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16893484,https://static.inaturalist.org/photos/25521209/medium.jpg?1537849811,,53269,,,,,
Sorbus aucuparia,L.,,rowan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,exotic,SNA (2001) ,new 2015,documented,,,,,2015-04-05,judithofsquamish,http://www.inaturalist.org/observations/4486114,https://static.inaturalist.org/photos/5417238/medium.jpeg?1478147478,,56063,,,,,
Sorbus scopulina cascadensis,Greene ,,Greene's mountain-ash,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,native,S5 (2019),new 2015,documented,,,,,2015-07-18,judithofsquamish,http://www.inaturalist.org/observations/4500743,https://static.inaturalist.org/photos/5440346/medium.jpeg?1478376227,,243023,,,,,
Sorbus sitchensis ,M. Roem.,,Sitka mountain-ash,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,native,S5 (2000),confirmed,documented,1997-07-13,Gerald B. Straley,UBC,UBC: V226166,2018-07-21,judithofsquamish,https://www.inaturalist.org/observations/14703397,https://static.inaturalist.org/photos/21925166/medium.jpeg?1532478777,,48583,,,,,
Sorbus sitchensis grayi,M. Roem.,,dwarf or gray's mountain ash,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,native,S5 (2000),confirmed,documented,1913-08-03,W. Taylor ,UBC,UBC: V32888,2016-05-23,judithofsquamish,https://www.inaturalist.org/observations/5968467,https://static.inaturalist.org/photos/7459424/medium.jpeg?1493228097,,81376,,,,,
Sparganium angustifolium ,Michx.,,narrow-leaved bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,native,S5 (2000),reported,undocumented,1998-07-09,Frank Lomer ,UBC,UBC: V233949,,,,,,79161,,,,,
Sparganium emersum,Rehmann,,unbranched bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,native,S5 (2015),confirmed,documented,1940-08-06,John W. Eastham,UBC,UBC: V29329,2017-08-07,judithofsquamish,https://www.inaturalist.org/observations/7477283,https://static.inaturalist.org/photos/9733757/medium.jpeg?1502641864,,62575,,,,,
Sparganium natans ,L.,,small bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,native,S5 (2015) ,reported,undocumented,1977-08-11,Patrick D. Warrington ,RBCM,V172786,,,,,original record S. minimum,79162,,,,,
Spergula arvensis,L.,,corn spurrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2019),reported,undocumented,1974-06-18,,RBCM,V082552,,,,, ,57005,,,,,
